CODGEO,Année,somme_ligne_effectifs,Nombre d habitants,CODGEO_2024,annee,somme_ligne_delits
33193,2017,1.0,1340.0,33193,2017,32
35004,2018,1.0,1342.0,35004,2018,60
62330,2017,1.0,1342.0,62330,2017,0
21577,2017,1.0,1343.0,21577,2017,14
76254,2018,1.0,1346.0,76254,2018,38
63236,2018,3.0,1346.0,63236,2018,57
71294,2018,1.0,1346.0,71294,2018,11
45317,2017,1.0,1347.0,45317,2017,20
64249,2018,1.0,1347.0,64249,2018,53
41256,2017,1.0,1352.0,41256,2017,20
17311,2017,1.0,1354.0,17311,2017,22
84102,2018,2.0,1360.0,84102,2018,45
85106,2017,1.0,1363.0,85106,2017,32
63236,2017,3.0,1363.0,63236,2017,78
17411,2017,1.0,1365.0,17411,2017,46
85106,2018,1.0,1365.0,85106,2018,26
41241,2018,1.0,1369.0,41241,2018,0
84102,2017,2.0,1369.0,84102,2017,51
33193,2018,2.0,1370.0,33193,2018,34
45240,2018,2.0,1370.0,45240,2018,0
81081,2017,1.0,1372.0,81081,2017,0
17075,2018,1.0,1375.0,17075,2018,15
17411,2018,1.0,1379.0,17411,2018,30
17075,2017,1.0,1381.0,17075,2017,37
59336,2017,1.0,1383.0,59336,2017,32
59336,2018,1.0,1383.0,59336,2018,12
66129,2017,1.0,1385.0,66129,2017,11
66129,2018,1.0,1385.0,66129,2018,24
17323,2017,2.0,1387.0,17323,2017,35
76254,2017,2.0,1388.0,76254,2017,31
83083,2018,1.0,1390.0,83083,2018,20
17323,2018,0.0,1393.0,17323,2018,39
45050,2017,1.0,1394.0,45050,2017,23
45050,2018,1.0,1394.0,45050,2018,13
13029,2018,1.0,1397.0,13029,2018,20
30336,2018,1.0,1398.0,30336,2018,10
13029,2017,1.0,1398.0,13029,2017,29
30336,2017,2.0,1398.0,30336,2017,11
66222,2017,4.0,1399.0,66222,2017,32
66222,2018,3.0,1399.0,66222,2018,23
83037,2018,1.0,1400.0,83037,2018,18
83037,2017,2.0,1400.0,83037,2017,16
35004,2017,1.0,1400.0,35004,2017,52
45317,2018,1.0,1400.0,45317,2018,28
58152,2018,1.0,1403.0,58152,2018,7
60501,2018,1.0,1405.0,60501,2018,8
24035,2018,1.0,1407.0,24035,2018,8
45240,2017,1.0,1409.0,45240,2017,0
80649,2018,3.0,1412.0,80649,2018,57
80649,2017,3.0,1413.0,80649,2017,55
1339,2017,1.0,1414.0,1339,2017,7
58152,2017,1.0,1414.0,58152,2017,5
9268,2018,1.0,1417.0,9268,2018,16
9268,2017,1.0,1417.0,9268,2017,20
1105,2017,1.0,1418.0,1105,2017,7
34078,2018,1.0,1423.0,34078,2018,6
34078,2017,1.0,1423.0,34078,2017,6
9207,2017,1.0,1423.0,9207,2017,11
38242,2018,1.0,1426.0,38242,2018,13
60501,2017,1.0,1430.0,60501,2017,13
1339,2018,1.0,1434.0,1339,2018,14
77216,2018,1.0,1438.0,77216,2018,25
77216,2017,1.0,1438.0,77216,2017,47
38540,2017,1.0,1439.0,38540,2017,27
9207,2018,2.0,1442.0,9207,2018,5
38242,2017,1.0,1447.0,38242,2017,14
69280,2017,1.0,1450.0,69280,2017,9
69280,2018,1.0,1450.0,69280,2018,14
88132,2017,1.0,1452.0,88132,2017,0
34082,2017,1.0,1453.0,34082,2017,0
30347,2018,1.0,1454.0,30347,2018,17
30347,2017,2.0,1454.0,30347,2017,21
77208,2018,1.0,1455.0,77208,2018,6
77208,2017,1.0,1455.0,77208,2017,5
39056,2018,1.0,1456.0,39056,2018,31
39056,2017,1.0,1456.0,39056,2017,20
31036,2017,1.0,1460.0,31036,2017,0
24035,2017,1.0,1460.0,24035,2017,9
21481,2018,1.0,1461.0,21481,2018,25
3165,2018,1.0,1466.0,3165,2018,17
77078,2018,0.0,1468.0,77078,2018,20
77078,2017,1.0,1468.0,77078,2017,19
80222,2018,1.0,1469.0,80222,2018,0
72068,2018,1.0,1470.0,72068,2018,17
11255,2017,1.0,1470.0,11255,2017,13
3165,2017,1.0,1471.0,3165,2017,12
38540,2018,1.0,1471.0,38540,2018,21
60387,2018,2.0,1474.0,60387,2018,5
69055,2018,1.0,1476.0,69055,2018,6
77086,2017,1.0,1476.0,77086,2017,24
69055,2017,1.0,1476.0,69055,2017,8
77086,2018,1.0,1476.0,77086,2018,43
21461,2018,1.0,1477.0,21461,2018,10
60387,2017,2.0,1478.0,60387,2017,7
59382,2018,1.0,1478.0,59382,2018,9
59382,2017,1.0,1484.0,59382,2017,11
59520,2018,1.0,1486.0,59520,2018,11
59313,2017,1.0,1487.0,59313,2017,8
34295,2017,2.0,1488.0,34295,2017,32
34295,2018,2.0,1488.0,34295,2018,34
97110,2017,2.0,1496.0,97110,2017,49
59520,2017,1.0,1496.0,59520,2017,9
88531,2017,1.0,1497.0,88531,2017,27
97110,2018,1.0,1499.0,97110,2018,45
13017,2017,1.0,1500.0,13017,2017,12
60643,2017,1.0,1500.0,60643,2017,30
59313,2018,1.0,1500.0,59313,2018,8
45103,2018,1.0,1500.0,45103,2018,12
17483,2018,1.0,1500.0,17483,2018,17
72068,2017,1.0,1500.0,72068,2017,19
6138,2018,7.0,1501.0,6138,2018,82
80222,2017,1.0,1504.0,80222,2017,0
91198,2017,1.0,1504.0,91198,2017,0
17483,2017,1.0,1507.0,17483,2017,16
88132,2018,1.0,1514.0,88132,2018,0
22093,2018,1.0,1514.0,22093,2018,519
60129,2018,1.0,1515.0,60129,2018,9
60643,2018,1.0,1515.0,60643,2018,24
60562,2018,1.0,1516.0,60562,2018,8
60562,2017,1.0,1516.0,60562,2017,5
13017,2018,1.0,1519.0,13017,2018,15
29226,2018,1.0,1523.0,29226,2018,6
29226,2017,1.0,1523.0,29226,2017,7
91198,2018,1.0,1524.0,91198,2018,0
83096,2017,1.0,1525.0,83096,2017,32
89077,2017,1.0,1534.0,89077,2017,18
1276,2017,1.0,1535.0,1276,2017,8
40102,2017,1.0,1540.0,40102,2017,5
40102,2018,1.0,1540.0,40102,2018,6
78343,2017,1.0,1541.0,78343,2017,8
4039,2018,5.0,1541.0,4039,2018,54
34203,2017,1.0,1542.0,34203,2017,28
34203,2018,1.0,1542.0,34203,2018,18
34258,2018,1.0,1542.0,34258,2018,16
34258,2017,1.0,1542.0,34258,2017,23
38043,2017,1.0,1544.0,38043,2017,0
12225,2017,1.0,1546.0,12225,2017,0
21461,2017,1.0,1547.0,21461,2017,11
61038,2018,1.0,1548.0,61038,2018,35
76414,2018,1.0,1550.0,76414,2018,29
76414,2017,1.0,1550.0,76414,2017,28
60129,2017,1.0,1550.0,60129,2017,11
86207,2018,1.0,1551.0,86207,2018,34
86207,2017,1.0,1551.0,86207,2017,34
34119,2017,1.0,1552.0,34119,2017,8
34119,2018,1.0,1552.0,34119,2018,15
69059,2017,1.0,1553.0,69059,2017,39
31036,2018,1.0,1553.0,31036,2018,0
69059,2018,1.0,1553.0,69059,2018,57
8218,2018,1.0,1553.0,8218,2018,5
67414,2017,1.0,1554.0,67414,2017,14
67414,2018,1.0,1554.0,67414,2018,13
6138,2017,5.0,1554.0,6138,2017,112
14079,2017,1.0,1555.0,14079,2017,33
42181,2018,1.0,1560.0,42181,2018,8
83133,2018,1.0,1560.0,83133,2018,26
34136,2017,1.0,1562.0,34136,2017,16
34136,2018,1.0,1562.0,34136,2018,12
